name frequency mean_age
georgina 5579 33.4
evangelina 5576 63
maria juana 5572 63.2
rufina 5519 71
nahia 5466 7.6
azahara 5462 18.8
maria piedad 5458 56.2
bienvenida 5448 65.1
angustias 5427 66.8
teresa jesus 5374 52.7
maialen 5369 15.5
clotilde 5334 68.4
naia 5327 7.5
anastasia 5324 51
otilia 5307 67.8
davinia 5293 25.9
socorro 5291 68.3
ursula 5287 45.9
sonia maria 5270 38.4
emiliana 5246 71
maria alejandra 5221 33.6
gertrudis 5216 64.8
josefa maria 5200 53.9
rachida 5176 39.6
balbina 5164 69.3
dominga 5161 67.6
olga maria 5064 42.3
maria nuria 5045 49.7
maria azucena 5003 50.7
karima 4993 32.3
naroa 4944 11.3
uxue 4938 10.4
antia 4922 13.1
june 4915 12
sarai 4875 22.5
myriam 4770 31
maria raquel 4750 47.4
maria consolacion 4741 58.9
cristina maria 4729 32.5
marcela 4717 49.7
laila 4691 24.8
anais 4676 15.8
feliciana 4675 69.7
erica 4653 24
eusebia 4624 72.2
maria elvira 4614 52.8
francesca 4590 52
gloria maria 4586 42.3
ignacia 4582 70.5
maribel 4579 43.8
lina 4572 30.6
saida 4565 35.5
felicitas 4556 71.9
zoe 4534 7.6
iluminada 4524 65.7
covadonga 4522 39.5
victorina 4497 73.8
maria eva 4480 48.2
maria laura 4476 42.1
melania 4467 26.5
maria prado 4453 50.1
engracia 4448 70.4
maria salud 4446 53.3
presentacion 4444 69
minerva 4431 24
yasmin 4421 10.4
inocencia 4419 70
miren 4412 34
ona 4408 7.8
eider 4387 18
guillermina 4385 61.6
maria alicia 4374 53.6
silvia maria 4351 36
cayetana 4347 22.1
nicolasa 4346 70
olatz 4304 26.6
sandra maria 4267 33.7
bouchra 4265 31.3
salud 4264 61.8
faustina 4255 70.2
maria almudena 4248 43.1
maria merce 4240 52.4
oliva 4238 67
hanane 4235 29.9
julia maria 4233 42.5
nicole 4214 17.1
maitane 4210 21.8
gema maria 4205 33.4
luz marina 4197 46.5
cintia 4174 21.2
maria fe 4170 53.7
sara maria 4158 29.6
saturnina 4147 73
maria celia 4145 56.1
uxia 4123 10.7
victoria eugenia 4123 40.3
latifa 4098 38.6
fermina 4094 69.6
celestina 4069 69.8
samara 4062 12.9
maria emilia 4049 51.6
paula maria 4025 25.6
francisca maria 4021 47.2
sacramento 4016 63.8
iciar 4014 32.2
serafina 4006 67.9
ana carmen 4004 45.5
loreto 3994 39.8
malak 3971 4.7
maria margarita 3969 54.4
alina 3968 28
elisa isabel 3965 40.6
rut 3961 27
camila 3940 36.3
concepcio 3893 68.8
saioa 3872 22.4
pastora 3856 57.7
clara isabel 3847 42.4
xenia 3837 16.4
basilisa 3823 73.1
pascuala 3775 69.8
paz 3769 55.1
maria felisa 3758 57.8
graciela 3696 39.9
bibiana 3672 45.1
souad 3656 34.2
maravillas 3635 56.6
benedicta 3626 70.7
sabrina 3625 24.2
luz 3615 53
nicoleta 3615 34.8
